committee,group,function,S_jfg
金安居委会,child,education,12
金安居委会,child,employment,2
金安居委会,child,commerce,13
金安居委会,child,recreation,2
金安居委会,child,healthcare,1
金安居委会,child,habitation,5
金安居委会,adult,education,62
金安居委会,adult,employment,21
金安居委会,adult,commerce,45
金安居委会,adult,recreation,14
金安居委会,adult,healthcare,4
金安居委会,adult,habitation,12
金安居委会,elderly,education,0
金安居委会,elderly,employment,0
金安居委会,elderly,commerce,7
金安居委会,elderly,recreation,1
金安居委会,elderly,healthcare,1
金安居委会,elderly,habitation,4
同济新村居委会,child,education,97
同济新村居委会,child,employment,82
同济新村居委会,child,commerce,330
同济新村居委会,child,recreation,56
同济新村居委会,child,healthcare,12
同济新村居委会,child,habitation,59
同济新村居委会,adult,education,179
同济新村居委会,adult,employment,226
同济新村居委会,adult,commerce,626
同济新村居委会,adult,recreation,112
同济新村居委会,adult,healthcare,28
同济新村居委会,adult,habitation,129
同济新村居委会,elderly,education,54
同济新村居委会,elderly,employment,45
同济新村居委会,elderly,commerce,243
同济新村居委会,elderly,recreation,42
同济新村居委会,elderly,healthcare,6
同济新村居委会,elderly,habitation,44
鞍山四村第三居委会,child,education,164
鞍山四村第三居委会,child,employment,251
鞍山四村第三居委会,child,commerce,888
鞍山四村第三居委会,child,recreation,113
鞍山四村第三居委会,child,healthcare,84
鞍山四村第三居委会,child,habitation,130
鞍山四村第三居委会,adult,education,198
鞍山四村第三居委会,adult,employment,273
鞍山四村第三居委会,adult,commerce,944
鞍山四村第三居委会,adult,recreation,117
鞍山四村第三居委会,adult,healthcare,88
鞍山四村第三居委会,adult,habitation,138
鞍山四村第三居委会,elderly,education,131
鞍山四村第三居委会,elderly,employment,213
鞍山四村第三居委会,elderly,commerce,761
鞍山四村第三居委会,elderly,recreation,91
鞍山四村第三居委会,elderly,healthcare,79
鞍山四村第三居委会,elderly,habitation,114
密云路居委会,child,education,42
密云路居委会,child,employment,23
密云路居委会,child,commerce,70
密云路居委会,child,recreation,11
密云路居委会,child,healthcare,5
密云路居委会,child,habitation,13
密云路居委会,adult,education,110
密云路居委会,adult,employment,107
密云路居委会,adult,commerce,241
密云路居委会,adult,recreation,52
密云路居委会,adult,healthcare,17
密云路居委会,adult,habitation,40
密云路居委会,elderly,education,29
密云路居委会,elderly,employment,16
密云路居委会,elderly,commerce,59
密云路居委会,elderly,recreation,6
密云路居委会,elderly,healthcare,5
密云路居委会,elderly,habitation,12
铁岭路九十弄居委会,child,education,103
铁岭路九十弄居委会,child,employment,148
铁岭路九十弄居委会,child,commerce,562
铁岭路九十弄居委会,child,recreation,84
铁岭路九十弄居委会,child,healthcare,34
铁岭路九十弄居委会,child,habitation,99
铁岭路九十弄居委会,adult,education,260
铁岭路九十弄居委会,adult,employment,324
铁岭路九十弄居委会,adult,commerce,1257
铁岭路九十弄居委会,adult,recreation,183
铁岭路九十弄居委会,adult,healthcare,93
铁岭路九十弄居委会,adult,habitation,210
铁岭路九十弄居委会,elderly,education,60
铁岭路九十弄居委会,elderly,employment,79
铁岭路九十弄居委会,elderly,commerce,262
铁岭路九十弄居委会,elderly,recreation,39
铁岭路九十弄居委会,elderly,healthcare,17
铁岭路九十弄居委会,elderly,habitation,42
