committee,group,time_min,commerce,education,employment,habitation,healthcare,recreation
同济新村居委会,adult,5,129.0,30.0,58.0,16.0,11.0,25.0
同济新村居委会,adult,10,206.0,51.0,88.0,33.0,16.0,42.0
同济新村居委会,adult,15,454.0,103.0,173.0,75.0,37.0,72.0
同济新村居委会,child,5,112.0,22.0,49.0,13.0,11.0,24.0
同济新村居委会,child,10,160.0,32.0,65.0,18.0,12.0,31.0
同济新村居委会,child,15,284.0,63.0,106.0,44.0,23.0,56.0
同济新村居委会,elderly,5,112.0,22.0,49.0,13.0,11.0,24.0
同济新村居委会,elderly,10,130.0,30.0,59.0,17.0,11.0,25.0
同济新村居委会,elderly,15,202.0,46.0,84.0,32.0,15.0,41.0
密云路居委会,adult,5,129.0,30.0,58.0,16.0,11.0,25.0
密云路居委会,adult,10,206.0,51.0,88.0,33.0,16.0,42.0
密云路居委会,adult,15,454.0,103.0,173.0,75.0,37.0,72.0
密云路居委会,child,5,112.0,22.0,49.0,13.0,11.0,24.0
密云路居委会,child,10,160.0,32.0,65.0,18.0,12.0,31.0
密云路居委会,child,15,284.0,63.0,106.0,44.0,23.0,56.0
密云路居委会,elderly,5,112.0,22.0,49.0,13.0,11.0,24.0
密云路居委会,elderly,10,130.0,30.0,59.0,17.0,11.0,25.0
密云路居委会,elderly,15,202.0,46.0,84.0,32.0,15.0,41.0
金安居委会,adult,5,129.0,30.0,58.0,16.0,11.0,25.0
金安居委会,adult,10,206.0,51.0,88.0,33.0,16.0,42.0
金安居委会,adult,15,454.0,103.0,173.0,75.0,37.0,72.0
金安居委会,child,5,112.0,22.0,49.0,13.0,11.0,24.0
金安居委会,child,10,160.0,32.0,65.0,18.0,12.0,31.0
金安居委会,child,15,284.0,63.0,106.0,44.0,23.0,56.0
金安居委会,elderly,5,112.0,22.0,49.0,13.0,11.0,24.0
金安居委会,elderly,10,130.0,30.0,59.0,17.0,11.0,25.0
金安居委会,elderly,15,202.0,46.0,84.0,32.0,15.0,41.0
铁岭路九十弄居委会,adult,5,129.0,30.0,58.0,16.0,11.0,25.0
铁岭路九十弄居委会,adult,10,206.0,51.0,88.0,33.0,16.0,42.0
铁岭路九十弄居委会,adult,15,454.0,103.0,173.0,75.0,37.0,72.0
铁岭路九十弄居委会,child,5,112.0,22.0,49.0,13.0,11.0,24.0
铁岭路九十弄居委会,child,10,160.0,32.0,65.0,18.0,12.0,31.0
铁岭路九十弄居委会,child,15,284.0,63.0,106.0,44.0,23.0,56.0
铁岭路九十弄居委会,elderly,5,112.0,22.0,49.0,13.0,11.0,24.0
铁岭路九十弄居委会,elderly,10,130.0,30.0,59.0,17.0,11.0,25.0
铁岭路九十弄居委会,elderly,15,202.0,46.0,84.0,32.0,15.0,41.0
鞍山四村第三居委会,adult,5,129.0,30.0,58.0,16.0,11.0,25.0
鞍山四村第三居委会,adult,10,206.0,51.0,88.0,33.0,16.0,42.0
鞍山四村第三居委会,adult,15,454.0,103.0,173.0,75.0,37.0,72.0
鞍山四村第三居委会,child,5,112.0,22.0,49.0,13.0,11.0,24.0
鞍山四村第三居委会,child,10,160.0,32.0,65.0,18.0,12.0,31.0
鞍山四村第三居委会,child,15,284.0,63.0,106.0,44.0,23.0,56.0
鞍山四村第三居委会,elderly,5,112.0,22.0,49.0,13.0,11.0,24.0
鞍山四村第三居委会,elderly,10,130.0,30.0,59.0,17.0,11.0,25.0
鞍山四村第三居委会,elderly,15,202.0,46.0,84.0,32.0,15.0,41.0
